Articles,Text,Category
22,tory backing for id cards the tories are to back controversial government plans to introduce id cards.  the shadow cabinet revealed its support ahead of next week s commons vote on a bill to introduce compulsory id. the decision follows a  tough meeting  where some senior tories argued vociferously against the move  party sources told the bbc. the bill  which ministers claim will tackle crime  terrorism and illegal immigration  is expected to be opposed by the liberal democrats.  they have said the scheme is  deeply flawed  and a waste of money. sources within the conservative party told the bbc michael howard has always been in favour of id cards  and tried to introduce them when he was home secretary. the party has been  agnostic  on the issue until now but had now decided to come off the fence  the tory source said. despite giving their backing to id cards  the conservatives insisted they would hold ministers to account over the precise purpose of the scheme.  they said they would also press labour over whether objectives could be met and whether the home office would deliver them. and they pledged to assess the cost effectiveness of id cards and whether people s privacy would be properly protected.  it is important to remember that this bill will take a decade to come into full effect   a spokesman said.  it will do nothing to solve the immediate problems of rising crime and uncontrolled immigration.   lib dem home affairs spokesman mark oaten said:  this has all the signs of michael howard overruling colleagues  concerns over id cards.  the tories should have the courage to try and change public opinion not follow it.  the new chairman of the bar council  guy mansfield qc warned there was a real risk that people on the  margins of society  would be driven into the hands of extremists.  what is going to happen to young asian men when there has been a bomb gone off somewhere  they are going to be stopped. if they haven t [id cards] they are going to be detained.,politics
23,benitez delight after crucial win liverpool manager rafael benitez admitted victory against deportivo la coruna was vital in their tight champions league group.  jorge andrade s early own goal gave liverpool a 1-0 win. and benitez said:  we started at a very high tempo and had many chances. it is a very important win for us and we could have scored more goals.  we were very good defensively and also good on the counter attack. we are pleased but move on to the next game.  igor biscan was outstanding in midfield after replacing injured xabi alonso  and benitez said:  he played very well.  it is important to have all the players ready and a good squad so you can play more games at a high level.  benitez added:  it is all back in our own hands now  it was a great win for us and i was delighted with what i feel was the best liverpool i have seen.  as far as my feelings about winning in spain  that is really not important.  i want to see us win away matches in the champions league  that it was in spain was not my first consideration.  as far as i am concerned it is important for liverpool to win  it is not important in what country it is in.  benitez added: benitez said:  we had a problem before the start  it was decided that xabi could not play more than 45 minutes.  but in the end because of the way that (dietmar) hamann and (igor) biscan performed  we did not need to change things until right at the end of the match.  depor are a good team and if you allow them to keep possession they can be very dangerous indeed.  but we knew that if we hit them on the counter-attack it would make them nervous  and that is how it worked out.  deportivo coach javier irureta said:  liverpool played very well and we just could not break them down.  i know we have now gone six games at home in europe without scoring  but that does not reflect our overall performances.  but this time we did not play well and we lacked imagination.  the goal was a bad mistake and a big blow to our confidence. players who usually want the ball at that stage did not want it.  i know we are bottom of the group  but as long as there is hope of qualifying  we will hang on to that.,sport
24,dent continues adelaide progress american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing 6-1 6-1 win over argentine juan ignacio chela.  dent will meet swede joachim johansson on sunday after the second seed survived a tense tie-break to defeat belgium s olivier rochus 6-1 7-6 (7/5). johansson  the boyfriend of lleyton hewitt s sister jaslyn  received strong crowd support on saturday.  it feels like home for me  because jaslyn lives here   said johansson. rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   rochus said.,sport
25,stalemate in pension strike talks talks aimed at averting national strikes over pension reforms have ended without agreement after 90 minutes.  five public sector unions met deputy prime minister john prescott at the labour spring conference in gateshead. they want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65. up to 1.4 million workers could take part in strikes earmarked for 23 march. discussions will resume next week.  a spokesman for unison  britain s biggest union  said after saturday s meeting:  at least we are still talking.  all sides are anxious to avoid a major confrontation in the run up to the general election  said bbc labour affairs correspondent stephen cape. in four days  unison will start balloting 800 000 local government workers on strikes. other public sector unions have pledged to follow. the five unions which met mr prescott want the government to withdraw these regulations. this would allow months of tough negotiations to follow  said our correspondent. but a spokesman for mr prescott warned that the changes to the local government pension scheme would have to go ahead in april.  privately ministers believe this will be the  less painful  option  our correspondent added. the public and commercial services union (pcs) will co-ordinate any industrial action with up to six other public sector unions. pcs leader mark serwotka warned last week that there could be further walkouts unless there was a government rethink.  for a government that lectures everyone on choice - choice on public service  choice on this and choice on that - isn t it ironic that they re saying to public sector workers there is no choice   he said.  if you want the pension you were promised when you started you must work for an extra five years - that is working until people drop.  in the 20th century  it s completely unacceptable.   unison s 800 000 workers  the transport and general workers  union s 70 000 and amicus  20 000 are among those being balloted about a 23 march walkout. mr prescott held a private meeting with senior union figures last week. it is understood no deal was offered in that meeting but there was room for further negotiations.,politics
26,tories outlining policing plans local communities would be asked to go to the polls to elect their own area police commissioner  under plans unveiled by the conservatives.  party leader michael howard said the new role would replace  inconspicuous  police authorities. he said the new office would not supersede the job of a chief constable. the lib dems said the plan could let extreme groups run policing  while labour criticised  extravagant  tory promises on policing.  responding to the plans  the chairman of the police federation of england and wales  which represents rank and file officers  said it was essential operational independence was retained.  jan berry said:  it is a service  not a political football to be kicked around every time an election approaches.  these plans could result in those with extreme political views dictating what actually happens on the ground   she warned. outlining his crime manifesto  mr howard said elected police commissioners would be more accountable than police authorities which are made up of local councillors and magistrates.  the commissioner will have the powers which existing police authorities have   he told bbc radio 4 s today programme.  the trouble is  and it s no reflection on the people who are on the police authority - they are good people - but hardly anyone knows who they are.  mr howard said the authorities were not  providing the local accountability that we want to see  and that elected police commissioners would be more visible.  critics fear the move could hand control of the police to single-issue campaigners who would ignore the needs of the wider community. lord harris  who sits on the executive of association of police authorities  said the plans seemed to suggest chief constables should be told what to do by a single politician.  that is overturning nearly 200 years of the way in which we have organised policing in this country to avoid the politicisation of policing decisions   he said.  liberal democrat home affairs spokesman mark oaten said the plan was dangerous and  could create conflict between chief constables and elected officials . mr oaten said local people had too little control over policing but a far better solution would be for elected councillors to draw up a  minimum policing guarantee  with their chief constables. a labour party spokesman criticised michael howard s record  saying police numbers had fallen by 1 132 when he was home secretary. he said:  today the tories are making more extravagant promises on the police without making clear how they would pay for them  other than through fantasy savings to the asylum system.  the tories insists the commissioner role would not be like that of an american sheriff. other tory law and order plans include building more prisons and making criminals serve full jail sentences.,politics
27,aragones angered by racism fine spain coach luis aragones is furious after being fined by the spanish football federation for his comments about thierry henry.  the 66-year-old criticised his 3000 euros (£2 060) punishment even though it was far below the maximum penalty.  i am not guilty  nor do i accept being judged for actions against the image of the sport   he said.  i m not a racist and i ve never lacked sporting decorum. i ve never done that and i have medals for sporting merit.  aragones was handed the fine on tuesday after making racist remarks about henry to arsenal team-mate and spanish international jose reyes last october.  the spanish football federation at first declined to take action against aragones  but was then requested to do so by spain s anti-violence commission. the fine was far less than the expected amount of about £22 000 or even the suspension of his coaching licence. arsenal boss arsene wenger  who was fined £15 000 in december for accusing manchester united striker ruud van nistelrooy of cheating  believes that aragones  punishment was too lenient.  you compare his fine and my fine  and if you consider his was for racist abuse  then you seem to get away with it more in spain than you should   wenger said.  he shouldn t have said what he said  and how much money is enough  i don t know but it doesn t look a big punishment.  however  aragones insists the fine is unjustified and unfair.  i have been treated like islero (the bull that killed famous bullfighter manolete)   said aragones on hearing he had been fined for his actions.  i have not liked one thing about this whole affair and i do not agree with the sanction. they have looked for a scapegoat.  spain s anti-violence commission must now ratify the spanish fa s decision and has until next week to announce its verdict. aragones has 10 days to appeal  and the commission can also appeal. alberto flores  president of the spanish fa s disciplinary committee  said no-one in the committee felt aragones was a racist nor had  acted in a racist way.   a fine  the highest we could apply  is sufficient punishment. suspension would have been a bit exaggerated   flores told sports daily marca.,sport
28,vickery upbeat about arm injury england prop phil vickery is staying positive despite a broken arm ruling him out of the rbs six nations.  the 28-year-old fractured the radius in his right forearm during gloucester s 17-16 win over bath on saturday. he will undergo an operation on monday and is expected to be out for at least six weeks. he said:  this isn t an injury that will stop me from working hard on the fitness elements and being around the lads.  he added:  i ve got the operation this afternoon and i could be back doing fitness work after a week.   as frustrating as it is  i ve got to be positive.   after the game  vickery spoke with bath prop david barnes  who also broke his arm recently.  i had a chat with david barnes and it looks like a similar injury to him   he said.  he said he had the operation and he was back running after a week.  there s no doubt that i m going to get involved and be around this place as soon as i can after the operation.  gloucester director of rugby nigel melville said:  phil has broken his radius  which is the large bone in his forearm.  i don t really know how it happened  but phil will definitely be out of action for at least six weeks.  i feel very sorry for him  as he has been in great shape. he really needed 80 minutes of rugby this weekend  and then this happened. mentally  it must be very hard for him.,sport
29,balco case trial date pushed back the trial date for the bay area laboratory cooperative (balco) steroid distribution case has been postponed.  us judge susan illston pushed back a preliminary evidentiary hearing - which was due to take place on wednesday - until 6 june. no official trial date has been set but it is expected to begin in september. balco founder victor conte along with james valente  coach remy korchemny and trainer greg anderson are charged with distributing steroids to athletes.  anderson s clients include barry bonds  and several other baseball stars have been asked to appear before a congressional inquiry into steroid use in the major leagues. the balco defence team have already lost their appeal to have the case dismissed at a pre-trial hearing in san francisco but will still argue the case should not go to trial. the hearing in june will focus on the admissibility of evidence gathered during police raids on balco s offices and anderson s home. conte and anderson were not arrested at that point but federal agents did obtain statements from them. the defence are expected to challenge the legality of those interviews and if ilston agrees she could could reject all the evidence from the raids. balco has been accused by the united states anti-doping agency (usada) of being the source of the banned steroid thg and modafinil.  former double world champion kelli white and olympic relay star alvin harrison have both been banned on the basis of materials discovered during the balco investigation. britain s former european 100m champion dwain chambers is currently serving a two-year ban after testing positive for thg in an out-of-competition test in 2003. and american sprinter marion jones has filed a lawsuit for defamation against conte following his allegations that he gave her performance-enhancing drugs.,sport
30,gebrselassie in london triple bid double olympic 10 000m champion haile gebrselassie will race in the london marathon for the next three years.  the ethiopian legend won sunday s almeria half-marathon in spain on his return from an operation on his achilles tendon. he was third in london in 2002 in his first serious attempt at the marathon.  it is a coup for us to secure haile s presence for the next three years and it guarantees a quality race   said race director david bedford. gebrselassie will face olympic champion stefano baldini  world champion jaouad gharib  and arch-rival paul tergat  the current world record holder.  if i didn t think i could win i would not be here   said gebrselassie  who has set world records on 18 occasions in his illustrious career and is keen to add the marathon record to his collection.  there are a lot of fantastic runners in the race but i shall be doing my utmost to upset them.,sport
31,o driscoll out of scotland game ireland captain brian o driscoll has been ruled out of saturday s rbs six nations clash against scotland.  o driscoll was originally named in the starting line-up but has failed to recover from the hamstring injury he picked up in the win over italy. his replacement will be named after training on friday morning. fellow centre gordon d arcy is also struggling with a hamstring injury and he will undergo a fitness test on friday to see if he can play.  kevin maggs would be an obvious replacement at centre while shane horgan could also be moved from wing. ulster wing tommy bowe could also be asked to travel with the squad to scotland as a precautionary measure. the only other change to the ireland side sees wasps flanker johnny o connor replacing denis leamy. o connor will be winning his third cap after making his debut in the victory over south africa last november.  : murphy  horgan  tbc  d arcy  hickie  o gara  stringer  corrigan  byrne  hayes  o kelly  o connell  s easterby  o connor  foley.  : sheahan  horan  o callaghan  miller  g easterby  humphreys  dempsey.,sport
32,howard pitches for uk ethnic vote michael howard is to make a pitch for britain s ethnic vote urging people who feel  taken for granted  by tony blair to vote conservative.  he will say conservatives  share the same values  as the uk s minorities. and that he wants to build a  better britain  where everyone  whatever the colour of their skin or religion  can  make the most of their talents . but the tory leader will argue against positive discrimination saying it is  outdated and unjust .   it sets family against family and it leads ethnic communities to doubt their own abilities   he will argue. mr howard - himself the son of immigrants - will acknowledge that racial discrimination still exists in the uk.  people from ethnic communities  for example  still earn less than their white counterparts   he will say before arguing the answer to helping everyone to get on was  free enterprise  free trade  free speech . the tory leader will also call for religious tolerance arguing that hindus and sikhs as well as muslims got  caught in the downdraft of islamaphobia which was one of the terrible side effects of 9/11 .  mr howard will make his speech during a visit to support tory parliamentary hopefuls robert light and sayeeda warsi -  the first british muslim woman  selected to run for mp as a conservative candidate. he will attack labour s record in government over issues such as tax and he will set out tory plans for an immigration quota to be set by mps. mr howard will also attack the lib dems for wanting to abolish faith schools  introduce compulsory sex education from the age of seven  and  give contraceptives out in schools from the age of 11 .  so i say to all those people from ethnic minorities who feel mr blair and the liberal democrats take their votes for granted - come join us   he will say. lib dem president simon hughes branded mr howard  arrogant and wrong  for claiming the tories were the  natural party  for britain s ethnic minorities.  given the tories  considerably reduced support in urban areas  where many black and asian britons live  during their time in power  the evidence simply does not support his claims that the conservatives are the party for these communities   he said.,politics
33,clarke to press on with id cards new home secretary charles clarke has vowed to plough on with plans for id cards despite a call for him to  pause for thought  from charles kennedy.  the lib dem leader said david blunkett s resignation was a  good opportunity  to question whether the legislation was necessary. but mr clarke said he had supported the plans when mr blunkett argued for them in cabinet and he supported them now.  id cards are a means to creating a more secure society   he said. mr clarke acknowledged how the measure was introduced remained a matter for debate but he said legislation had already been  significantly influenced  by the recommendations of the commons  home affairs committee.  the issue would be debated in parliament next monday as scheduled he insisted. earlier mr kennedy  whose party opposes the id cards plan as  deeply flawed  said with christmas coming up the new home secretary had time to think again. he told bbc radio 4 s today programme that mr clarke had been reported to be less enthusiastic about id cards than his predecessors.  wouldn t this be a good opportunity for a new home secretary  a new broom  to sweep clean in this respect and why do we need this legislation in the first place   he asked. earlier this week the tories announced they would back the government s plans although michael howard was forced to deny the shadow cabinet was split over its decision.  they had decided to support the plans as the police said they would help fight terror  crime and illegal immigration. among those reported to have serious reservations over the strategy were senior shadow cabinet members david davis  oliver letwin and tim yeo. the chairman of the bar council  guy mansfield qc has warned there is a real risk that people on the  margins of society  would be driven into the hands of extremists.  what is going to happen to young asian men when there has been a bomb gone off somewhere  they are going to be stopped. if they haven t [id cards] they are going to be detained.   the home office says people will pay £85 for a passport and id card together or a undecided fee for a separate id card. the first cards would be issued in 2008 and when he was introducing the bill  mr blunkett suggested parliament could decide in 2011 or 2012 whether to make it compulsory for everybody to own the cards  although not to carry them. the new bill will also create new criminal offences on the possession of false identity documents. and there will be civil penalties including a fine of up to £1 000 fine for people who fail to say they have moved house or changed other details and of up to £2 500 for failing to sign up if the cards become compulsory. the scheme will be overseen by a new independent watchdog.,politics
34,venus stunned by farina elia venus williams suffered a first-round defeat for the first time in four years at the dubai championships.  sylvia farina elia  who had lost all nine of her previous meetings with the american fifth seed  won 7-5 7-6 (8-6). former wimbledon champion conchita martinez and india s sania mirza  the oldest and youngest players in the draw  also reached the second round. martinez  32  beat shinobu asagoe 6-4 6-4 and 18-year-old mirza beat jelena kostanic 6-7 (7-2) 6-4 6-1. mirza  the first indian woman to win a wta tour title this month on home ground at hyderabad  will now face us open champion svetlana kuznetsova.  but she is remaining confident.  she (kuznetsova) is a great player   she said.  but everyone is beatable and i am looking forward to a great match.  williams though blamed her defeat by farina elia on injuries.  blisters were a factor  but mostly my stomach wasn t that great   she said.  i did it in the last tournament in the semi-finals  and i was serving at 40% in the final.  the first time i served again was sunday and there wasn t a lot i could do out there. when your serve isn t good it throws the rest of your game off too.  she will wait to see how she recovers before deciding whether to take part in the nasdaq-100 open in miami  starting on 21 march.,sport
35,iranian misses israel match iranian striker vahid hashemian will not travel to israel for bayern munich s champions league match against maccabi tel aviv on wednesday.  the german club said the player had pulled out because of a back injury. iran refuses to recognise israel s right to exist and does not allow its citizens to travel to the country. a bayern spokesman said on monday that the decision not to take hashemian to israel had been motivated only by his physical condition.  he s got back pain and he couldn t train   the spokesman said.  it would have made no sense for him to go.  iran gave judo world champion arash miresmaeili a $125 000 reward when he refused to fight an israeli at the athens olympics. the international judo federation considered taking action against miresmaeili but concluded he had been overweight for the fight and could not have taken part.,sport
36,boris opposes mayor apology ken livingstone should  stick to his guns  and not apologise for his  nazi  comment to a jewish reporter  tory mp boris johnson has insisted.  mr johnson also claimed tony blair s intervention in the row was  an attempt to reassure jewish voters . london mayor mr livingstone says he is  standing by  his remarks which likened an evening standard journalist to a  concentration camp guard . but the prime minister says it is time for mr livingstone to say sorry.  labour s mr livingstone has said his comments may have been offensive but were not racist  and said earlier this week he would not apologise even if mr blair asked. later the prime minister said:  a lot of us in politics get angry with journalists from time to time  but in the circumstances  and to the journalist because he was a jewish journalist  yes  he should apologise.   however  mr johnson  who was forced to apologise last year for an article in the magazine he edits about liverpudlians grieving over the death of british hostage ken bigley  said mr blair  should butt out of  the row.  i don t see why the prime minister has to get involved in this   the spectator editor told bbc radio 4 s today programme.  it s a dispute between ken livingstone and a reporter on the evening standard.  mr johnson  mp for henley-on-thames  oxfordshire  said he suspected labour was now trying to reassure jewish voters  because of this curious way in which labour seems to be trying to curry favour with disillusioned muslim voters who may be disillusioned about the war .   ken doesn t think he s got anything to say sorry for and if that s really his feeling  then i think that he should stick to his guns   he said. mr johnson apologised last october for perpetuating an  outdated stereotype  of liverpool in the leader article on the death of mr bigley. the article in the magazine suggested grieving liverpudlians were wallowing in their victim status. it also attributed blame to drunken liverpool football fans for the 1989 hillsborough disaster in which 96 died. mr johnson told today:  it s perfectly true that i got into the grovelling game myself and when i apologised there were some things that i felt i ought to say sorry for ... there were also other things i didn t think i should apologise for   he said.  but here s old ken - he s been crass  he s been insensitive and thuggish and brutal in his language - but i don t think actually if you read what he said  although it was extraordinary and rude  i don t think he was actually anti-semitic.,politics
37,britain boosted by holmes double athletics fans endured a year of mixed emotions in 2004 as stunning victories went hand-in-hand with disappointing defeats and more drugs scandals.  kelly holmes finally fulfilled her potential by storming to double gold on the track at the olympic games. holmes helped erase the gloom hanging over team gb after their biggest medal hope  paula radcliffe  dropped out of the marathon and then the 10 000m. britain s men s 4x100m relay team also did their bit by taking a shock gold. holmes had started the year in disappointing style  falling over in the final of 1500m at the world indoor championships where she was favourite. her olympic build-up was clouded by self doubt but that proved unfounded as she overhauled rival maria mutola to win the 800m - her first global title. just five days later  the 34-year-old made it double gold in the 1500m. it was the first time in 84 years a briton has achieved the olympic middle-distance double. while holmes left athens as the star of team gb  it was radcliffe who carried expectations before the august games.  the 30-year-old marathon world record holder went into the athens event as favourite but an exhausted radcliffe dropped out after 23 miles in tears. her decision to enter the 10 000m five days later also backfired as she again pulled out with eight laps remaining.  but radcliffe helped put her olympic trauma behind her with a thrilling win in november s new york marathon. the 4x100m team grabbed some last-gasp glory for the british men s olympic squad after a poor start to the games.  it seemed as though athens would be the first games where the men would fail to win a medal with michael east the only individual track finalist in the 1500m. but darren campell  jason gardener  marlon devonish and mark lewis-francis made amends in the sprint relay. the quartet held off favourites the usa to win britain s first relay medal since 1912 in 38.07 seconds. gardener added the olympic relay crown to his world indoor title over 60m and  just like holmes  finally lived up to his promise in 2004. kelly sotherton completed team gb s athletics medal haul in athens with a surprise bronze in the heptathlon. the 28-year-old won her first championship medal since becoming a full-time athlete in 2003.  but it was a different story for britain s defending champion denise lewis  who withdrew on day two of the competition after some poor results. lewis  who was troubled by injury  has ruled out retiring while sotherton is tipped to build on her success. the athens olympics proved to be a landmark occasion for steve backley  who retired from competition after finishing fourth in the javelin. the battling 35-year-old leaves the sport with a vast medal haul including two silvers and one olympic bronze.  and backley s departure was balanced by the return of injury-hit decathlete dean macey  who came fourth in athens.  the continued improvement of sprinter abi oyepitan and long jumper chris tomlinson also boosted team gb. sadly  the 2004 olympics did not escape the problems of drugs misuse. on the eve of the games  greek sprinters kostas kenteris and katerina thanou missed a drugs test and claimed to have been involved in a road crash.  kenteris  the 200m champion in 2000  and thanou have since been charged by the greek authorities and await trial. at the games  adrian annus (hammer)  robert fazelas (discus) and irina korzhanenko (shot) were all stripped of their titles because of doping issues. hungarian compatriots annus and fazelas both refused to give urine samples while russian korzhanenko tested positive for the steroid stanozolol.  the fallout from the thg scandal  which rocked the sport in 2003  continued to impact in olympic year. britain s 4x100m team took gold without the services of dwain chambers  who was handed a two-year ban in february after testing positive for steroid thg.  american kelli white was suspended and stripped of her world 100m and 200m titles after failing a drugs test. and world 400m champion jerome young landed a life ban from us chiefs after a second doping offence. russian pole vaulter yelena isinbayeva provided some light relief by smashing the world record seven times on her way to the world indoor and olympic titles. her rivalry with compatriot svetlana feofanova livened up the field events. morocco s hicham el guerrouj also delighted fans by racing to a historic olympic double in the 1500m and 5 000m.  and though there was no paula radcliffe in the london marathon  there was plenty of drama as kenyans evans rutto and margaret okayo took the titles. rutto held on to win despite slipping on some cobblestones and tumbling into a barrier. okayo also had to battle back after mistiming her tactics but clinched victory on her debut.,sport
38,campbell to be lions consultant former government communications chief alastair campbell will act as a media consultant to sir clive woodward s 2005 lions on their tour to new zealand.  campbell  who left downing street earlier this year  will advise on media strategy before and during the tour.  i hope i can contribute to the planning and preparation  and to ensuring the media and public get the most out of the tour itself   he said.  i am also looking forward to going out for the later stages of the tour.  woodward s decision to call in prime minister tony blair s former spin doctor springs from the deterioration in media relations on the last lions tour of australia in 2001  when new zealander graham henry was the head coach. the furore surrounding the newspaper diaries of matt dawson and austin healey was compounded by other disillusioned players venting their frustration through the media.  the lions is a massive media event   said woodward  who will be the head coach.  there will be a huge level of interest from the travelling media  the fans that will go out in their thousands and the new zealand public.  we need to have the strategy and processes in place to deal with the pressures that will bring.  [alastair] will act as an advisor both in the build up to and on the tour itself. his role is to work closely with not only myself but (tour manager) bill beaumont  (media manager) louisa cheetham and (team manager) louise ramsay.  campbell is due to resume working for the government in the new year in the build-up to an anticipated may general election. the lions leave for new zealand on 24 may  with the first test match against the all blacks in christchurch on 25 june.,sport
39,could rivalry overshadow election  tony blair and gordon brown are desperately trying to stuff the genie of their rivalry back into the bottle.  along with any number of senior cabinet colleagues  they are insisting their only job is to win the next election and govern in the best interests of britain. it is a message they are aiming directly at their backbenchers who are becoming irritated and even unnerved by the continuing claims and counter claims surrounding this alleged rift. ian gibson  for example  urged the two men to stop squabbling  declaring:  for goodness sake  sometimes you have to rise above petulance and make sure that you do your job as effectively as you can.  those with slim majorities are particularly fearful that the rift could hit their own hopes of re-election. tony blair will seek to reassure labour mps on monday evening at their first meeting of the new year at westminster - a behind-closed doors meeting which gordon brown is thought likely to also attend to show unity.  meanwhile the likes of health secretary john reid and labour peer lord haskins are warning of the electoral dangers of allowing this soap opera to continue. and they have both warned the rival camps to stop spreading the poison. lord haskins even suggested mr blair should reinstate mr brown as the central figure in the election planning.  but this particular genie is unusually reluctant to return to captivity and many fear it is simply too late to repair the damage. they believe they will be fighting the next election with the sounds of open warfare between the two men ringing in their ears. and it matters little whether the rift is real or  as some try to suggest  simply the product of newspaper headlines and westminster gossip. few in westminster actually believe that  simply because the evidence appears to contradict it.  for example  the weekend s attempts by both men to play down the divisions failed to do the trick. even as they were both insisting on their unity of purpose and claiming they would not be swayed by newspaper stories  they still managed to stir the speculation with their comments.  mr blair talked about the  new  labour manifesto - a move which seemed calculated to irritate the chancellor  who has long rejected the label. and mr brown pointedly refused to deny claims the prime minister had reneged on a deal to hand him the premiership last year. that claim was repeated in robert peston s book  a book which amply demonstrates this corrosive downing street soap opera is nowhere near its final act.  for his part  mr brown insists his only motivation was to get labour re-elected.  the trouble is  both men have fallen short of offering simple  straightforward denials of the central claims. so they have both been accused of actually making matters worse by feeding the speculation with their own behaviour. the first thing to be said is that these suggestions have not come from nowhere. they started with and are sustained by  friends  of the two men. one only had to listen to the chancellor s friend and former spin chief charlie whelan last week to understand that there is a real anger from this camp at the prime minister s apparent attempts to confound mr brown s leadership ambitions. but it is not just public pronouncements from ex-aides.  there are whispered briefings to selected journalists from both sides. it is no secret in westminster  for example  that downing street believes the chancellor is indulging in a mammoth sulk and acting in a petty and deliberately provocative manner.  then there are the actions of the men themselves. gordon brown sets out what is seen as a rival manifesto then appears to embark on his own personal campaign. the prime minister responds by scheduling his monthly press conference to clash with a keynote speech by the chancellor. meanwhile large numbers of backbench mps insist voters are either entirely uninterested in the chatter  which they believe is a media-only obsession  or that they fear for the efficient running of a government beset by such rivalry. either way  there is universal agreement that if this goes on through the general election it can only do the labour party serious damage. there are signs that the two men appreciate the dangers and both want to put a lid on all the speculation. but with probably only four months to the next election  that looks like being a particularly difficult trick to pull off.,politics
40,straw attacked on china arms moves to lift the european union s ban on arms exports to china have been condemned by human rights groups and the conservatives.  the 15 year embargo was imposed in the aftermath of china s crackdown on protesters in tiananmen square in 1989. uk foreign secretary jack straw  who will hold talks in beijing on thursday  said an eu arms code was more effective than the current ban. but human rights watch says the eu is putting commerce above abuse concerns.  in december  the eu pledged to work towards lifting the ban but said it was not ready to do so yet. germany and france have repeatedly called for the embargo to be lifted. britain has been more cautious but mr straw last week said he also wanted it to end  despite us objections.  he expects it to be lifted over the next six months  a prediction which has alarmed critics. brad adams  from human rights watch  said:  this is a huge political signal from europe that they are willing to forget about tiananmen square.  there are still thousands of people who are unaccounted for.   mr straw said it was wrong to put china under the same embargo as countries such as zimbabwe and burma. the scope of the embargo was very narrow and did not have any force of law behind it  he told bbc radio 4 s world at one. in the uk  more export licences were refused under the existing european union arms code than under the embargo  he said. and only two of the licences denied under the embargo would have been granted under the code.  the code of conduct is much more effective  it s a more powerful tool of and we intend to strengthen it as a pre-condition of lifting the embargo with china   he said.  mr straw denied the decision would suggest to china that tiananmen square had been forgotten. the level of human rights was a key criteria under the eu arms exports code  he said. human rights groups say the code of conduct is not legally binding - but mr straw said it would be given legal force by the laws of many eu countries. conservative shadow foreign secretary michael ancram said the move would be  profoundly wrong . the decision could undermine nato as it severely damaged relations with the us  which is opposed to ending the ban.  mr ancram argued:  what the british government is doing is giving in to french and german pressure  especially the french  who see vast contracts available to them if the embargo is lifted...  it gives the wrong signals to china  who are simply not prepared to accept that what happened at tiananmen square was wrong.  mr straw s china trip is part of regular high-level meetings with beijing ministers. he will meet chinese counterpart minister li zhaoxing to discuss developing relations between their two countries  hong kong and china s part in the talks on north korea.,politics
